Date,Maximum,Minimum,Temperature,Departure,HDD,CDD,Precipitation,New Snow
3/1/23,42,33,37.5,2.9,27,0,0,0
3/2/23,44,37,40.5,5.7,24,0,0.58,0
3/3/23,44,34,39,4,26,0,,
3/4/23,37,31,34,-1.2,31,0,0.32,0.4
3/5/23,43,30,36.5,1,28,0,0,0
3/6/23,48,37,42.5,6.8,22,0,0,0
3/7/23,40,29,34.5,-1.4,30,0,,
3/8/23,47,30,38.5,2.4,26,0,,
3/9/23,49,34,41.5,5.1,23,0,0,0
3/10/23,51,32,41.5,4.9,23,0,0,0
3/11/23,40,35,37.5,0.7,27,0,0.06,
3/12/23,42,32,37,-0.1,28,0,0,0
3/13/23,42,36,39,1.7,26,0,0.34,0
3/14/23,41,33,37,-0.6,28,0,2.2,0.5
3/15/23,44,34,39,1.2,26,0,0.01,
3/16/23,51,34,42.5,4.4,22,0,0,0
3/17/23,53,38,45.5,7.1,19,0,0,0
3/18/23,53,40,46.5,7.9,18,0,,0
3/19/23,40,30,35,-3.9,30,0,0,0
3/20/23,52,28,40,0.8,25,0,0,0
3/21/23,58,34,46,6.5,19,0,0,0
3/22/23,50,38,44,4.2,21,0,0,0
3/23/23,61,45,53,12.9,12,0,,0
3/24/23,53,38,45.5,5.1,19,0,0,0
3/25/23,42,32,37,-3.7,28,0,0.06,0
3/26/23,57,40,48.5,7.5,16,0,0.01,0
3/27/23,55,39,47,5.6,18,0,0.32,0
3/28/23,46,37,41.5,-0.2,23,0,0.23,0
3/29/23,45,33,39,-3,26,0,0,0
3/30/23,42,32,37,-5.4,28,0,0,0
3/31/23,48,32,40,-2.7,25,0,0.16,0
